"Id";"Designator";"Package";"Quantity";"Designation";"Supplier and ref";
1;"BT1";"BC2001-button-battery";1;"Battery_Cell";;;
2;"C1";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"22p";;;
3;"C3";"C_Disc_D5.0mm_W2.5mm_P2.50mm";1;"50p";;;
4;"C4,C5,C8";"C_Disc_D5.0mm_W2.5mm_P2.50mm";3;"470p";;;
5;"C6,C7";"C_Disc_D5.0mm_W2.5mm_P2.50mm";2;"1n";;;
6;"D1";"LED_D3.0mm";1;"LED";;;
7;"J2";"PinHeader_1x01_P2.54mm_Vertical";1;"Conn_01x01_Male";;;
8;"Q1,Q2";"TO-92";2;"2N3904";;;
9;"R1";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"620";;;
10;"R2";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"75k";;;
11;"R3";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100k";;;
12;"R4";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"100";;;
13;"R5";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"2.2k";;;
14;"R6";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"22k";;;
15;"R7";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"10k";;;
16;"R8";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"1.5k";;;
17;"R9";"R_Axial_DIN0207_L6.3mm_D2.5mm_P7.62mm_Horizontal";1;"240";;;
18;"SW1";"PinHeader_2x02_P2.54mm_Vertical";1;"SW_Push_Dual";;;
19;"Y1";"Crystal_HC49-U_Vertical";1;"Crystal";;;
20;"J1";"PinHeader_2x03_P2.54mm_Vertical";1;"Conn_02x03_Odd_Even";;;
